feature,importance_mean,importance_std
PageValues,0.42674563647013863,0.005422773635177273
ExitRates,0.01791529145333438,0.0037252940082845684
BounceRates,0.016719932560205496,0.0023746241786408097
Administrative,0.010942397471689925,0.0022092626203725403
Administrative_Duration,0.007253436925599077,0.0021676516965946505
Informational_Duration,0.0025346590333220954,0.0009108241833822826
Informational,0.0015089499925510785,0.00046454645645827085
ProductRelated_Duration,9.488252022460397e-06,0.0025610334850519677
ProductRelated,-0.001796298311318345,0.0037018643059524613
