model,n,prevalence,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece
broken_shortcut,5274,0.2068638604474782,0.1230188679245283,0.5621918847174819,0.5651217347155886,0.25264012997562957,0.5701191567369386,0.35012665353222633,0.5829499964173437,0.25587479433938254,0.1679097424233067,0.07556192354899784
corrected_invariant,5274,0.2068638604474782,0.14264150943396225,0.7216533940083428,0.7486447808367551,0.4107058266224538,0.7946837763519706,0.5415365396627109,0.8362563937266922,0.6514678017730241,0.11713240026907291,0.07174543250223034
broken_shortcut,5274,0.2068638604474782,0.1230188679245283,0.5644671975729996,0.5662173482514994,0.2536764705882353,0.5692025664527957,0.35094659508335685,0.5841265757935584,0.25297866239892214,0.16792950637403914,0.07524612525345556
corrected_invariant,5274,0.2068638604474782,0.1279245283018868,0.70193401592719,0.7423112581083618,0.3931585961794758,0.8111824014665444,0.5296229802513465,0.8394308243856402,0.6516292134721157,0.11713167158770707,0.06646564034761633
broken_shortcut,5274,0.2068638604474782,0.1230188679245283,0.5616230565036026,0.5640856129946777,0.2519301097114994,0.5682859761686526,0.3490990990990991,0.5841981193574534,0.25417157798139,0.16801561364701517,0.07631761623047965
corrected_invariant,5274,0.2068638604474782,0.1279245283018868,0.7078119074706105,0.7402577496580043,0.3970722781335773,0.7956003666361137,0.5297528227036924,0.8388111453697291,0.6503292914661469,0.11702048395762528,0.06566050231454089
broken_shortcut,5274,0.2068638604474782,0.1279245283018868,0.5794463405384908,0.5665137117129633,0.25658747300215984,0.5444546287809349,0.34879624192601294,0.5839842555952435,0.25494690160164596,0.16782138236573463,0.0748093969659423
corrected_invariant,5274,0.2068638604474782,0.13773584905660377,0.7110352673492605,0.7409347292618436,0.3998149005090236,0.7919340054995417,0.5313653136531366,0.8377808304005585,0.6518353060242023,0.11708163700564007,0.06951676108484209
broken_shortcut,5274,0.2068638604474782,0.1230188679245283,0.5637087599544938,0.5650616950938206,0.252859477124183,0.5673693858845096,0.3498163322972591,0.5824441516478137,0.2529553952563841,0.1681514731460615,0.07638006082465605
corrected_invariant,5274,0.2068638604474782,0.1279245283018868,0.695866514979143,0.7344210876681465,0.38645418326693226,0.8001833180568286,0.5211940298507463,0.8372393781911114,0.6519248907091209,0.11728488147521522,0.06776921858614147
