feature,shift_score
Month,0.9999999999999999
SpecialDay,0.539627696177532
ProductRelated,0.2789737227960275
ProductRelated_Duration,0.26028419684578036
ExitRates,0.17303203845448384
Administrative,0.1468066240297372
BounceRates,0.12297493847248306
PageValues,0.12243331681320359
Informational,0.11352085673424085
TrafficType,0.1041288972447305
Administrative_Duration,0.09618872302221036
Informational_Duration,0.08470871464434056
VisitorType,0.0666162653912532
OperatingSystems,0.05925862261184239
Weekend,0.02460133655282362
Region,0.015148631565033299
Browser,0.010162770117892676
